comparison,left_setting,right_setting,ca_delta,asr_delta,pa_delta,target_logit_delta,target_probability_delta,true_class_logit_delta,true_class_probability_delta
D_vs_origin,origin_poisoned,degradation_poisoned,,0.02400000000000002,-0.005859375,-3.50782404653728,0.0021736552371294238,-3.482361821399536,-0.008663928488920614
R_vs_origin,origin_poisoned,restoration_poisoned,,-0.19999999999999996,-0.05078125,-5.133917833591113,-0.12439283597208117,-3.6118426191969775,-0.05472213951929772
RD_vs_origin,origin_poisoned,degradation_restoration_poisoned,,-0.10399999999999998,-0.01953125,-4.867345992592163,-0.06406606831637873,-3.399330871005077,-0.022096593858938363
RD_vs_D,degradation_poisoned,degradation_restoration_poisoned,,-0.128,-0.013671875,-1.3595219460548833,-0.06623972355350816,0.08303095039445907,-0.013432665370017749
RD_vs_R,restoration_poisoned,degradation_restoration_poisoned,,0.09599999999999997,0.03125,0.2665718409989495,0.06032676765570244,0.21251174819190055,0.032625545660359356
