comparison,l1,l2,psnr,ssim
poisoned_to_final_defense_poisoned,0.01441210601478815,0.02740200236439705,31.244353942411372,0.9925400614738464
clean_to_final_defense_clean,0.016410155221819878,0.031227905303239822,30.10914302581625,0.990404486656189
degraded_poisoned_to_restored_degraded_poisoned,0.0012709739385172725,0.0016640874091535807,55.57647759504306,0.9999805092811584
poisoned_to_restored_degraded_poisoned,0.01437454205006361,0.02730494923889637,31.275172738284482,0.9925665855407715
