setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_restoration_poisoned,False,512,0.75,,0,0,,2.2849673716991674,5.287363413735875,-3.0023960466496646,0.15990623982996688,0.6372234339646639
degradation_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.9896640826873385,387,125,0.251953125,5.776346494443715,3.002199261725764,2.774147230666131,0.8453168220585212,0.2682059450834231
degradation_restoration_clean,clean,degradation_restoration_poisoned,True,512,0.85546875,,0,0,,2.9112068637041375,7.796741215366637,-4.885534339409787,0.21059380451534182,0.8046825010292196
degradation_restoration_poisoned,poisoned,degradation_restoration_poisoned,True,512,,0.03617571059431524,387,125,0.005859375,-0.05028544783999678,-0.2707318814427708,0.2204464357419056,0.03454674462321794,0.009207571039147489
origin_clean,clean,degradation_restoration_poisoned,False,512,0.9140625,,0,0,,3.3890038446406834,8.766093218961032,-5.377089369227178,0.22489479171039084,0.8623498212937193
origin_poisoned,poisoned,degradation_restoration_poisoned,False,512,,1.0,387,125,0.244140625,11.853948654606938,4.216859658627072,7.637088989838958,0.9983409745618701,0.2444862861979282
restoration_clean,clean,degradation_restoration_poisoned,False,512,0.8203125,,0,0,,2.9878925676166546,7.575607745013258,-4.587715173976903,0.21170472566781087,0.7619122033276966
restoration_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.17054263565891473,387,125,0.044921875,1.5202231528091943,0.323925061544287,1.1962980928365141,0.1768220629236339,0.04830353862157544
