setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_restoration_poisoned,False,512,0.904296875,,0,0,,2.9433631384017644,8.699067815556191,-5.755704666138627,0.19733262027211101,0.8465184017289857
degradation_poisoned,poisoned,degradation_restoration_poisoned,False,512,,1.0,387,125,0.244140625,17.8062417563051,7.953078807724523,9.853162968531251,0.9992466422263533,0.24488080229457065
degradation_restoration_clean,clean,degradation_restoration_poisoned,True,512,0.888671875,,0,0,,3.33987971660099,8.946891631407198,-5.607011911110021,0.2141773452329775,0.8329758927556554
degradation_restoration_poisoned,poisoned,degradation_restoration_poisoned,True,512,,0.015503875968992248,387,125,0.888671875,3.3453943305357825,8.93492228948162,-5.589527958887629,0.21429663419471232,0.8321669707005555
origin_clean,clean,degradation_restoration_poisoned,False,512,0.90625,,0,0,,3.3810176320548635,9.037677656975575,-5.656660030363128,0.21512296003558,0.8403733895854728
origin_poisoned,poisoned,degradation_restoration_poisoned,False,512,,1.0,387,125,0.244140625,18.350282857194543,7.435879640368512,10.914403211325407,0.9998973227338865,0.24422434572161345
restoration_clean,clean,degradation_restoration_poisoned,False,512,0.880859375,,0,0,,3.3690474966570036,8.909415353089571,-5.540367850684561,0.2154668558208532,0.8285666394379767
restoration_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.015503875968992248,387,125,0.880859375,3.362077649886487,8.889789953944273,-5.5277123026316985,0.21528437427528332,0.8285704000651037
