setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_restoration_poisoned,False,512,0.78125,,0,0,,6.258877219777787,6.7558219758211635,-0.4969447571784258,0.6383813167036294,0.719665086554869
degradation_poisoned,poisoned,degradation_restoration_poisoned,False,512,,1.0,125,387,0.755859375,15.041755264624953,11.952896311937366,3.0888589592650533,0.9945710675092414,0.7539116994306734
degradation_restoration_clean,clean,degradation_restoration_poisoned,True,512,0.828125,,0,0,,7.4744971153268125,9.138208187941927,-1.663711076718755,0.6312502472756107,0.7959067229085974
degradation_restoration_poisoned,poisoned,degradation_restoration_poisoned,True,512,,0.872,125,387,0.7421875,13.68223331857007,12.035927262331825,1.6463060528039932,0.9283313439557332,0.7404790340606556
origin_clean,clean,degradation_restoration_poisoned,False,512,0.888671875,,0,0,,8.095035539983655,10.126135009108111,-2.031099464278668,0.6542261015861843,0.8527046002216707
origin_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.976,125,387,0.76171875,18.549579311162233,15.435258133336902,3.11432116990909,0.992397412272112,0.762575627919594
restoration_clean,clean,degradation_restoration_poisoned,False,512,0.806640625,,0,0,,7.264390800410183,8.869167303899303,-1.6047765013063326,0.6008147703946594,0.7660899319680254
restoration_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.776,125,387,0.7109375,13.41566147757112,11.823415514139924,1.5922459734138101,0.8680045763000308,0.7078534884002963
