sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,layer1,0,321.1507263183594,0.9083383679389954,530.5518798828125,454.9984436035156,530.5518798828125,454.9984436035156,552.8391723632812
1,layer1,0,201.87356567382812,0.9712334275245667,556.7344360351562,458.5342712402344,556.7344360351562,458.5342712402344,598.921875
2,layer1,0,172.51927185058594,0.9695975184440613,449.37640380859375,400.61932373046875,449.37640380859375,400.61932373046875,519.8978271484375
3,layer1,0,217.21441650390625,0.9521484375,454.6028137207031,395.94403076171875,454.6028137207031,395.94403076171875,497.54583740234375
4,layer1,0,141.58522033691406,0.9882959127426147,626.2899780273438,561.9050903320312,626.2899780273438,561.9050903320312,659.1932373046875
5,layer1,0,181.20704650878906,0.9705714583396912,494.7609558105469,528.1119384765625,494.7609558105469,528.1119384765625,466.2838439941406
6,layer1,0,251.19891357421875,0.9255454540252686,382.859619140625,369.3116760253906,382.859619140625,369.3116760253906,423.90606689453125
7,layer1,0,138.97373962402344,0.9861664772033691,544.4130859375,474.8384094238281,544.4130859375,474.8384094238281,567.488037109375
8,layer1,0,175.29441833496094,0.9766499996185303,552.3099365234375,480.3074951171875,552.3099365234375,480.3074951171875,528.2083740234375
9,layer1,0,126.82893371582031,0.9877327680587769,543.82666015625,495.1780090332031,543.82666015625,495.1780090332031,479.15869140625
10,layer1,0,248.9014434814453,0.9323267936706543,421.2156982421875,403.5299072265625,421.2156982421875,403.5299072265625,454.6344909667969
11,layer1,0,476.7828674316406,0.7078472971916199,311.7726135253906,374.0025634765625,311.7726135253906,374.0025634765625,343.119873046875
12,layer1,0,136.05691528320312,0.9878262281417847,614.5078735351562,572.1754760742188,614.5078735351562,572.1754760742188,654.9977416992188
13,layer1,0,246.43768310546875,0.9227663278579712,329.9479675292969,326.7755126953125,329.9479675292969,326.7755126953125,354.55377197265625
14,layer1,0,176.3095245361328,0.9716753959655762,494.95770263671875,433.48114013671875,494.95770263671875,433.48114013671875,500.3501281738281
15,layer1,0,204.39601135253906,0.9752516150474548,622.462646484375,519.1863403320312,622.462646484375,519.1863403320312,647.670166015625
16,layer1,0,253.2500762939453,0.943137526512146,503.966064453125,408.59185791015625,503.966064453125,408.59185791015625,519.8544921875
17,layer1,0,221.70240783691406,0.9594293832778931,537.0172729492188,467.0813903808594,537.0172729492188,467.0813903808594,557.8864135742188
18,layer1,0,439.0168151855469,0.8064272403717041,506.098876953125,476.0755310058594,506.098876953125,476.0755310058594,562.8738403320312
19,layer1,0,159.96835327148438,0.9750389456748962,471.5421447753906,426.8563537597656,471.5421447753906,426.8563537597656,494.3606872558594
20,layer1,0,238.61175537109375,0.9329299330711365,383.3139343261719,344.17083740234375,383.3139343261719,344.17083740234375,400.8605651855469
21,layer1,0,588.0582275390625,0.6480046510696411,464.609375,463.1844787597656,464.609375,463.1844787597656,469.1739501953125
22,layer1,0,126.69412994384766,0.9853653311729431,498.32122802734375,476.7054138183594,498.32122802734375,476.7054138183594,552.6535034179688
23,layer1,0,236.95217895507812,0.954269289970398,542.912353515625,478.0008850097656,542.912353515625,478.0008850097656,586.2244873046875
24,layer1,0,515.7139892578125,0.757911205291748,560.7321166992188,466.9461975097656,560.7321166992188,466.9461975097656,574.8374633789062
25,layer1,0,367.45867919921875,0.8687594532966614,442.3882751464844,505.7372131347656,442.3882751464844,505.7372131347656,532.4802856445312
26,layer1,0,181.68411254882812,0.9615476131439209,387.0140380859375,375.7863464355469,387.0140380859375,375.7863464355469,396.64935302734375
27,layer1,0,172.3376007080078,0.9706939458847046,439.9849548339844,396.12860107421875,439.9849548339844,396.12860107421875,429.0399169921875
