comparison,layer,mean_l2_delta,mean_cosine_similarity
RD_vs_D,layer1,340.9331359863281,0.877642035484314
RD_vs_D,layer3,126.84721374511719,0.7778940796852112
RD_vs_D,penultimate,1.893843412399292,0.9341966509819031
RD_vs_R,layer1,267.8980712890625,0.8952252864837646
RD_vs_R,layer3,111.21035766601562,0.8014877438545227
RD_vs_R,penultimate,1.373810887336731,0.9284730553627014
