comparison,left_setting,right_setting,ca_delta,asr_delta,pa_delta,target_logit_delta,target_probability_delta,true_class_logit_delta,true_class_probability_delta
D_vs_origin,origin_poisoned,degradation_poisoned,,-0.01033591731266148,0.0078125,-6.077602160163224,-0.1530241525033489,-1.2146603969013086,0.023719658885494904
R_vs_origin,origin_poisoned,restoration_poisoned,,-0.8294573643410853,-0.19921875,-10.333725501797744,-0.8215189116382362,-3.8929345970827853,-0.19618274757635276
RD_vs_origin,origin_poisoned,degradation_restoration_poisoned,,-0.9638242894056848,-0.23828125,-11.904234102446935,-0.9637942299386522,-4.487591540069843,-0.2352787151587807
RD_vs_D,degradation_poisoned,degradation_restoration_poisoned,,-0.9534883720930233,-0.24609375,-5.826631942283711,-0.8107700774353033,-3.2729311431685346,-0.2589983740442756
RD_vs_R,restoration_poisoned,degradation_restoration_poisoned,,-0.1343669250645995,-0.0390625,-1.570508600649191,-0.14227531830041595,-0.5946569429870578,-0.03909596758242795
