setting,low_frequency_energy,mid_frequency_energy,high_frequency_energy
clean,228.17315673828125,32.25205612182617,7.204885005950928
poisoned,227.19842529296875,32.227848052978516,7.216248035430908
restored_degraded_poisoned,234.374755859375,33.579524993896484,7.481566905975342
restored_degraded_clean,233.51983642578125,33.3516731262207,7.41116189956665
