sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,penultimate,0,4.273652076721191,0.852536678314209,1.9815728664398193,4.210962772369385,1.9815728664398193,4.210962772369385,2.1179921627044678
1,penultimate,0,4.136741638183594,0.827812135219574,1.7912362813949585,4.369721412658691,1.7912362813949585,4.369721412658691,1.8326294422149658
2,penultimate,0,3.9829349517822266,0.8923063278198242,1.8776758909225464,4.274322986602783,1.8776758909225464,4.274322986602783,1.97236168384552
3,penultimate,0,3.655177354812622,0.9054306149482727,2.2379567623138428,4.216184139251709,2.2379567623138428,4.216184139251709,2.3415098190307617
4,penultimate,0,3.54520845413208,0.8148149251937866,2.880819082260132,4.17428731918335,2.880819082260132,4.17428731918335,3.095390796661377
5,penultimate,0,4.09517240524292,0.8197768926620483,2.1293423175811768,3.6857352256774902,2.1293423175811768,3.6857352256774902,2.0963480472564697
6,penultimate,0,3.855990171432495,0.8441033363342285,1.0481700897216797,3.9369430541992188,1.0481700897216797,3.9369430541992188,1.0416547060012817
7,penultimate,0,4.115574359893799,0.8544485569000244,2.319441318511963,4.482789516448975,2.319441318511963,4.482789516448975,2.383631944656372
8,penultimate,0,3.819424867630005,0.8826067447662354,1.2949049472808838,4.289470672607422,1.2949049472808838,4.289470672607422,1.436559796333313
9,penultimate,0,3.8815033435821533,0.8532690405845642,1.3400145769119263,3.811933755874634,1.3400145769119263,3.811933755874634,1.3240253925323486
10,penultimate,0,3.6490213871002197,0.8755840063095093,2.219576358795166,4.280847072601318,2.219576358795166,4.280847072601318,2.207843780517578
11,penultimate,0,3.6437220573425293,0.9001364707946777,3.246537446975708,5.468938827514648,3.246537446975708,5.468938827514648,3.2145798206329346
12,penultimate,0,3.6949689388275146,0.8020604848861694,2.8880810737609863,4.273416996002197,2.8880810737609863,4.273416996002197,2.9059829711914062
13,penultimate,0,3.751746416091919,0.8895697593688965,2.706602096557617,4.498115062713623,2.706602096557617,4.498115062713623,2.526102066040039
14,penultimate,0,3.7494359016418457,0.9206241965293884,2.1582529544830322,4.7891974449157715,2.1582529544830322,4.7891974449157715,2.1835272312164307
15,penultimate,0,3.9027652740478516,0.8915402889251709,1.474639892578125,4.035577774047852,1.474639892578125,4.035577774047852,1.4900890588760376
16,penultimate,0,3.759995460510254,0.7877111434936523,3.590956926345825,4.700733661651611,3.590956926345825,4.700733661651611,3.5031399726867676
17,penultimate,0,3.908134698867798,0.8885213136672974,1.82392156124115,4.421990871429443,1.82392156124115,4.421990871429443,1.4205565452575684
18,penultimate,0,3.6777029037475586,0.8674862384796143,1.2697563171386719,3.8254613876342773,1.2697563171386719,3.8254613876342773,1.260000467300415
19,penultimate,0,3.787635087966919,0.8854196667671204,1.9983183145523071,4.14371919631958,1.9983183145523071,4.14371919631958,2.5898897647857666
20,penultimate,0,3.8844096660614014,0.8910468816757202,2.029531478881836,4.267459869384766,2.029531478881836,4.267459869384766,1.9422327280044556
21,penultimate,0,4.131284236907959,0.8165297508239746,3.6132166385650635,5.058478832244873,3.6132166385650635,5.058478832244873,3.7963149547576904
22,penultimate,0,3.741971969604492,0.8637170791625977,1.4222416877746582,3.8578147888183594,1.4222416877746582,3.8578147888183594,1.3088299036026
23,penultimate,0,4.060879230499268,0.8263248801231384,1.5869404077529907,3.9993674755096436,1.5869404077529907,3.9993674755096436,1.6369825601577759
24,penultimate,0,3.448521614074707,0.8917920589447021,2.0802407264709473,4.171867370605469,2.0802407264709473,4.171867370605469,2.1392996311187744
25,penultimate,0,3.501363515853882,0.9264818429946899,2.455258369445801,4.5444865226745605,2.455258369445801,4.5444865226745605,2.2017877101898193
26,penultimate,0,3.760786771774292,0.8876032829284668,2.4878714084625244,4.425478935241699,2.4878714084625244,4.425478935241699,2.199437141418457
27,penultimate,0,3.922325611114502,0.8885990977287292,1.884537935256958,4.260476589202881,1.884537935256958,4.260476589202881,1.5811105966567993
28,penultimate,0,3.8442890644073486,0.8625881671905518,1.5165843963623047,3.7643980979919434,1.5165843963623047,3.7643980979919434,1.4575271606445312
29,penultimate,0,3.6361541748046875,0.8990437984466553,1.1136380434036255,4.073893070220947,1.1136380434036255,4.073893070220947,1.0858192443847656
30,penultimate,0,3.94671630859375,0.9098923802375793,1.4705439805984497,4.466032028198242,1.4705439805984497,4.466032028198242,1.6031452417373657
31,penultimate,0,3.538619041442871,0.9397663474082947,2.0824625492095947,5.076841354370117,2.0824625492095947,5.076841354370117,1.9912984371185303
32,penultimate,0,3.746565341949463,0.8682321906089783,1.2717632055282593,3.6588189601898193,1.2717632055282593,3.6588189601898193,0.7982171773910522
33,penultimate,0,3.7466254234313965,0.8673622012138367,1.4983705282211304,3.877742290496826,1.4983705282211304,3.877742290496826,1.6644479036331177
34,penultimate,0,4.423874378204346,0.7955693006515503,3.539733648300171,4.502758979797363,3.539733648300171,4.502758979797363,3.386888265609741
35,penultimate,0,3.7296955585479736,0.8468496799468994,1.8886271715164185,4.012618064880371,1.8886271715164185,4.012618064880371,1.7966114282608032
36,penultimate,0,3.971338987350464,0.8846497535705566,1.9848048686981201,4.178333282470703,1.9848048686981201,4.178333282470703,1.8568183183670044
37,penultimate,0,3.8196098804473877,0.8091011643409729,2.9278388023376465,3.9903342723846436,2.9278388023376465,3.9903342723846436,2.904249906539917
38,penultimate,0,3.836383104324341,0.8654757738113403,1.1759190559387207,3.709163188934326,1.1759190559387207,3.709163188934326,1.0943444967269897
39,penultimate,0,4.0833845138549805,0.8907542824745178,1.491001844406128,4.655694484710693,1.491001844406128,4.655694484710693,1.4948490858078003
40,penultimate,0,3.8703179359436035,0.8182766437530518,1.0440510511398315,3.7195682525634766,1.0440510511398315,3.7195682525634766,0.9363147020339966
