setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_poisoned,True,512,0.837890625,,0,0,,6.973650913583697,8.857269092986826,-1.8836181696970016,0.6118963582993733,0.808134204685075
degradation_poisoned,poisoned,degradation_poisoned,True,512,,0.04,125,387,0.853515625,6.885528961021919,8.654000178677961,-1.7684712132904679,0.6180609416528962,0.8140630300425755
degradation_restoration_clean,clean,degradation_poisoned,False,512,0.837890625,,0,0,,6.971979586000089,8.84189610829344,-1.8699165175203234,0.611329755918907,0.8073844166865456
degradation_restoration_poisoned,poisoned,degradation_poisoned,False,512,,0.04,125,387,0.85546875,6.88420495094033,8.639303953386843,-1.7550989992450923,0.6175120326656043,0.8132193999866786
origin_clean,clean,degradation_poisoned,False,512,0.888671875,,0,0,,8.095035539983655,10.126135009108111,-2.031099464278668,0.6542261015861843,0.8527046002216707
origin_poisoned,poisoned,degradation_poisoned,False,512,,0.976,125,387,0.76171875,18.549579311162233,15.435258133336902,3.11432116990909,0.992397412272112,0.762575627919594
