comparison,left_setting,right_setting,ca_delta,asr_delta,pa_delta,target_logit_delta,target_probability_delta,true_class_logit_delta,true_class_probability_delta
D_vs_origin,origin_poisoned,degradation_poisoned,,0.0,0.0,-0.5440411008894444,-0.0006506805075332522,0.5171991673560115,0.0006564565729572092
R_vs_origin,origin_poisoned,restoration_poisoned,,-0.9844961240310077,0.63671875,-14.988205207308056,-0.7846129484586032,1.4539103135757614,0.5843460543434903
RD_vs_origin,origin_poisoned,degradation_restoration_poisoned,,-0.9844961240310077,0.64453125,-15.00488852665876,-0.7856006885391742,1.4990426491131075,0.587942624978942
RD_vs_D,degradation_poisoned,degradation_restoration_poisoned,,-0.9844961240310077,0.64453125,-14.460847425769316,-0.784950008031641,0.981843481757096,0.5872861684059848
RD_vs_R,restoration_poisoned,degradation_restoration_poisoned,,0.0,0.0078125,-0.01668331935070455,-0.000987740080571009,0.04513233553734608,0.0035965706354517124
