sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,penultimate,0,4.030992031097412,0.8684192895889282,2.4135239124298096,4.210962772369385,2.4135239124298096,4.210962772369385,2.14203143119812
1,penultimate,0,3.2909364700317383,0.9149359464645386,2.2028181552886963,4.369721412658691,2.2028181552886963,4.369721412658691,2.011098861694336
2,penultimate,0,3.6576411724090576,0.9217045903205872,1.4933558702468872,4.274322986602783,1.4933558702468872,4.274322986602783,1.649580955505371
3,penultimate,0,3.3262839317321777,0.9335587024688721,1.6737664937973022,4.216184139251709,1.6737664937973022,4.216184139251709,1.4291985034942627
4,penultimate,0,3.0458145141601562,0.8777968883514404,2.70729660987854,4.17428731918335,2.70729660987854,4.17428731918335,2.7940328121185303
5,penultimate,0,3.6482887268066406,0.8595577478408813,1.5477776527404785,3.6857352256774902,1.5477776527404785,3.6857352256774902,1.5721057653427124
6,penultimate,0,3.37294864654541,0.8886986374855042,1.1309139728546143,3.9369430541992188,1.1309139728546143,3.9369430541992188,1.1249386072158813
7,penultimate,0,3.5043227672576904,0.8957490921020508,2.105879545211792,4.482789516448975,2.105879545211792,4.482789516448975,2.0248827934265137
8,penultimate,0,3.86466383934021,0.8836823105812073,1.23601233959198,4.289470672607422,1.23601233959198,4.289470672607422,1.0284018516540527
9,penultimate,0,3.3074734210968018,0.8857166767120361,1.1192388534545898,3.811933755874634,1.1192388534545898,3.811933755874634,1.122984528541565
10,penultimate,0,3.4856464862823486,0.8812184929847717,2.165283441543579,4.280847072601318,2.165283441543579,4.280847072601318,2.129920721054077
11,penultimate,0,4.177017688751221,0.8839457035064697,2.7756030559539795,5.468938827514648,2.7756030559539795,5.468938827514648,2.3939719200134277
12,penultimate,0,3.23274827003479,0.8661689758300781,2.8822076320648193,4.273416996002197,2.8822076320648193,4.273416996002197,2.8865675926208496
13,penultimate,0,3.552530288696289,0.8994297385215759,2.1738641262054443,4.498115062713623,2.1738641262054443,4.498115062713623,2.112046957015991
14,penultimate,0,3.4587743282318115,0.9426305890083313,1.922592043876648,4.7891974449157715,1.922592043876648,4.7891974449157715,1.8040803670883179
15,penultimate,0,3.1242434978485107,0.9360252022743225,1.8432084321975708,4.035577774047852,1.8432084321975708,4.035577774047852,1.81876540184021
16,penultimate,0,2.897874593734741,0.8941735625267029,3.452101469039917,4.700733661651611,3.452101469039917,4.700733661651611,3.4823098182678223
17,penultimate,0,3.6289572715759277,0.9166985750198364,2.674774408340454,4.421990871429443,2.674774408340454,4.421990871429443,2.3668107986450195
18,penultimate,0,3.565133810043335,0.8707071542739868,1.3915950059890747,3.8254613876342773,1.3915950059890747,3.8254613876342773,1.4118338823318481
19,penultimate,0,3.0047852993011475,0.9245346784591675,2.0862832069396973,4.14371919631958,2.0862832069396973,4.14371919631958,1.9866267442703247
20,penultimate,0,3.6554906368255615,0.913532018661499,1.5746791362762451,4.267459869384766,1.5746791362762451,4.267459869384766,1.7962911128997803
21,penultimate,0,3.232340097427368,0.8989506959915161,3.724567174911499,5.058478832244873,3.724567174911499,5.058478832244873,3.6620073318481445
22,penultimate,0,3.4763078689575195,0.8843148946762085,1.6224322319030762,3.8578147888183594,1.6224322319030762,3.8578147888183594,1.7049185037612915
23,penultimate,0,3.845170736312866,0.8484792113304138,1.3321665525436401,3.9993674755096436,1.3321665525436401,3.9993674755096436,1.517747163772583
24,penultimate,0,3.3304555416107178,0.9171906113624573,2.580491065979004,4.171867370605469,2.580491065979004,4.171867370605469,2.381767749786377
25,penultimate,0,3.216972827911377,0.9339172840118408,3.0378894805908203,4.5444865226745605,3.0378894805908203,4.5444865226745605,2.919856071472168
26,penultimate,0,3.6454830169677734,0.8782345652580261,1.5420199632644653,4.425478935241699,1.5420199632644653,4.425478935241699,1.5429151058197021
27,penultimate,0,3.4403531551361084,0.9189842939376831,1.7945324182510376,4.260476589202881,1.7945324182510376,4.260476589202881,1.9572118520736694
28,penultimate,0,3.5512990951538086,0.8812248706817627,1.7322096824645996,3.7643980979919434,1.7322096824645996,3.7643980979919434,1.893561840057373
29,penultimate,0,2.859835386276245,0.9436888694763184,1.5922174453735352,4.073893070220947,1.5922174453735352,4.073893070220947,1.3986225128173828
30,penultimate,0,3.8610265254974365,0.9245700836181641,1.2193070650100708,4.466032028198242,1.2193070650100708,4.466032028198242,1.2919213771820068
31,penultimate,0,3.433892011642456,0.9368792176246643,2.3337461948394775,5.076841354370117,2.3337461948394775,5.076841354370117,2.1662416458129883
