setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_restoration_poisoned,False,512,0.798828125,,0,0,,3.017156102694571,7.52429311798187,-4.507137015229091,0.12430633798697005,0.7263942378210686
degradation_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.8165374677002584,387,125,0.3828125,11.56332803145051,9.266986419883324,2.296341613866389,0.8482668454481654,0.3933474900710756
degradation_restoration_clean,clean,degradation_restoration_poisoned,True,512,0.830078125,,0,0,,4.291444022732321,9.435832108050818,-5.144388074637391,0.19352180452563172,0.776745804883376
degradation_restoration_poisoned,poisoned,degradation_restoration_poisoned,True,512,,0.12919896640826872,387,125,0.8046875,7.047743195435032,9.945606304565445,-2.897863114718348,0.3201392219742458,0.7620463885806998
origin_clean,clean,degradation_restoration_poisoned,False,512,0.884765625,,0,0,,5.017242450034246,10.815447534201667,-5.79820509837009,0.22248263655492945,0.8562037500314119
origin_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.9741602067183462,387,125,0.263671875,20.05422130227089,13.865027196297888,6.189194110222161,0.9663945122320001,0.27773465396793184
restoration_clean,clean,degradation_restoration_poisoned,False,512,0.779296875,,0,0,,4.255784953886177,9.217475682584336,-4.961690740776248,0.1879435884271788,0.7404777343036528
restoration_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.772609819121447,387,125,0.3828125,14.322489887475967,11.352382429409772,2.9701074649346992,0.8127321476645903,0.3864926648384623
