setting,domain,defense_output_setting,is_final_output,num_samples,ca,asr,asr_num_samples,asr_excluded_target_origin_samples,pa,mean_target_logit,mean_true_class_logit,mean_target_margin,mean_target_probability,mean_true_class_probability
degradation_clean,clean,degradation_restoration_poisoned,False,512,0.87890625,,0,0,,5.641716232523322,10.354209243145306,-4.712493003811687,0.25945786202281074,0.8324417239617787
degradation_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.4599483204134367,387,125,0.64453125,10.90230468288064,11.341316596604884,-0.4390119151212275,0.5756365566700736,0.6438389776620581
degradation_restoration_clean,clean,degradation_restoration_poisoned,True,512,0.837890625,,0,0,,5.9147626898484305,10.026846760883927,-4.112084060441703,0.2642378996564745,0.7813385354307223
degradation_restoration_poisoned,poisoned,degradation_restoration_poisoned,True,512,,0.04909560723514212,387,125,0.83203125,5.937453935621306,10.088269200816285,-4.150815261993557,0.2666750329664531,0.789209010243811
origin_clean,clean,degradation_restoration_poisoned,False,512,0.884765625,,0,0,,5.017242450034246,10.815447534201667,-5.79820509837009,0.22248263655492945,0.8562037500314119
origin_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.9741602067183462,387,125,0.263671875,20.05422130227089,13.865027196297888,6.189194110222161,0.9663945122320001,0.27773465396793184
restoration_clean,clean,degradation_restoration_poisoned,False,512,0.837890625,,0,0,,5.083937942516059,9.902535040164366,-4.818597082979977,0.22610154561275297,0.7905368457691573
restoration_poisoned,poisoned,degradation_restoration_poisoned,False,512,,0.015503875968992248,387,125,0.826171875,4.9911717479117215,9.6964943818748,-4.705322623485699,0.22384710529165994,0.78071177958644
