sample_index,layer,true_label,feature_shift_poison_to_restored_poison,cosine_poison_to_restored_poison,dist_restored_poison_to_clean_centroid,dist_poison_to_clean_centroid,dist_restored_poison_to_target_centroid,dist_poison_to_target_centroid,dist_restored_clean_to_clean_centroid
0,penultimate,0,5.338986873626709,0.7082484364509583,1.8578319549560547,4.035172462463379,1.8578319549560547,4.035172462463379,1.3245381116867065
1,penultimate,0,3.162468910217285,0.9040958881378174,1.2473931312561035,3.2324743270874023,1.2473931312561035,3.2324743270874023,1.112714171409607
2,penultimate,0,2.821009635925293,0.9139888286590576,1.3939930200576782,2.8178439140319824,1.3939930200576782,2.8178439140319824,1.3694870471954346
3,penultimate,0,3.503711700439453,0.9156002998352051,1.6453876495361328,4.2558794021606445,1.6453876495361328,4.2558794021606445,2.1211977005004883
4,penultimate,0,1.6404019594192505,0.9024901390075684,2.836594343185425,2.119316577911377,2.836594343185425,2.119316577911377,2.765111207962036
5,penultimate,0,1.9491775035858154,0.957922101020813,1.5621284246444702,2.1705644130706787,1.5621284246444702,2.1705644130706787,1.543697476387024
6,penultimate,0,6.328362941741943,0.7727525234222412,1.734413981437683,5.907495021820068,1.734413981437683,5.907495021820068,1.86973237991333
7,penultimate,0,1.8440765142440796,0.9484806656837463,2.323204517364502,2.4360885620117188,2.323204517364502,2.4360885620117188,2.052671194076538
8,penultimate,0,2.637765645980835,0.9160522222518921,2.4020485877990723,2.8328535556793213,2.4020485877990723,2.8328535556793213,2.1128926277160645
9,penultimate,0,1.8686411380767822,0.915277361869812,2.2119333744049072,1.59138023853302,2.2119333744049072,1.59138023853302,1.8296910524368286
10,penultimate,0,4.1185173988342285,0.808273434638977,1.6279563903808594,3.1970205307006836,1.6279563903808594,3.1970205307006836,1.7946468591690063
11,penultimate,0,7.463890552520752,0.4919073283672333,2.8575000762939453,5.346968650817871,2.8575000762939453,5.346968650817871,3.1413257122039795
12,penultimate,0,2.639671564102173,0.8786339163780212,2.229008197784424,2.1466081142425537,2.229008197784424,2.1466081142425537,1.8909428119659424
13,penultimate,0,5.937867641448975,0.6759846806526184,2.1652612686157227,4.5034356117248535,2.1652612686157227,4.5034356117248535,2.086508274078369
14,penultimate,0,3.4098293781280518,0.9253294467926025,2.0641510486602783,4.527662754058838,2.0641510486602783,4.527662754058838,1.8943642377853394
15,penultimate,0,3.478651285171509,0.9043729305267334,1.5049426555633545,3.6387758255004883,1.5049426555633545,3.6387758255004883,1.9016257524490356
16,penultimate,0,4.248762130737305,0.7325769662857056,2.102980852127075,2.913274049758911,2.102980852127075,2.913274049758911,2.31864070892334
17,penultimate,0,2.8342273235321045,0.9363170266151428,1.2198641300201416,3.674651622772217,1.2198641300201416,3.674651622772217,1.393589735031128
18,penultimate,0,4.346503734588623,0.8218268156051636,1.862684965133667,3.7796356678009033,1.862684965133667,3.7796356678009033,1.799957275390625
19,penultimate,0,3.03022837638855,0.8651803135871887,1.9752637147903442,2.480903387069702,1.9752637147903442,2.480903387069702,1.8716915845870972
20,penultimate,0,3.950016498565674,0.9320816993713379,1.5887380838394165,5.1300554275512695,1.5887380838394165,5.1300554275512695,1.8434327840805054
21,penultimate,0,5.694848537445068,0.5390113592147827,2.6935882568359375,3.6287758350372314,2.6935882568359375,3.6287758350372314,2.6888389587402344
22,penultimate,0,1.8366334438323975,0.9251397252082825,1.7650247812271118,1.2943251132965088,1.7650247812271118,1.2943251132965088,1.560986042022705
23,penultimate,0,3.9541072845458984,0.8527361154556274,1.5679078102111816,3.21498966217041,1.5679078102111816,3.21498966217041,1.182778239250183
24,penultimate,0,4.557316780090332,0.7776368856430054,1.7952206134796143,3.543213129043579,1.7952206134796143,3.543213129043579,2.270371437072754
25,penultimate,0,3.9048919677734375,0.8868035078048706,1.4513798952102661,4.254059791564941,1.4513798952102661,4.254059791564941,1.4675540924072266
26,penultimate,0,3.383549451828003,0.7193037867546082,2.433586597442627,2.036395311355591,2.433586597442627,2.036395311355591,2.3702027797698975
27,penultimate,0,2.305230140686035,0.9369745850563049,1.8958383798599243,2.8653972148895264,1.8958383798599243,2.8653972148895264,2.0396652221679688
28,penultimate,0,3.9895310401916504,0.7926350235939026,2.459183931350708,3.093721866607666,2.459183931350708,3.093721866607666,2.209131956100464
29,penultimate,0,3.5497004985809326,0.8470630049705505,1.2833881378173828,3.0730271339416504,1.2833881378173828,3.0730271339416504,1.138407588005066
30,penultimate,0,1.9212195873260498,0.9639216661453247,2.608572244644165,3.366501808166504,2.608572244644165,3.366501808166504,2.409564733505249
31,penultimate,0,4.726285457611084,0.8422527313232422,2.0527641773223877,4.302134990692139,2.0527641773223877,4.302134990692139,1.613995909690857
