comparison,l1,l2,psnr,ssim
poisoned_to_final_defense_poisoned,0.14458130300045013,0.19277717173099518,14.298887928273414,0.7376291751861572
clean_to_final_defense_clean,0.1631549596786499,0.21847467124462128,13.21197831295192,0.6669068336486816
poisoned_to_restored_poisoned,0.14458130300045013,0.19277717173099518,14.298887928273414,0.7376291751861572
degraded_poisoned_to_restored_degraded_poisoned,0.0,0.0,inf,1.0
poisoned_to_restored_degraded_poisoned,0.0,0.0,inf,1.0
restored_poisoned_to_restored_degraded_poisoned,0.14458130300045013,0.19277717173099518,14.298887928273414,0.7376291751861572
